"cheese","url","milk","country","region","family","type","fat_content","calcium_content","texture","rind","color","flavor","aroma","vegetarian","vegan","synonyms","alt_spellings","producers","lat","lon","xmin","ymin","xmax","ymax"
"Acapella","https://www.cheese.com/acapella/","goat","United States","California",NA,"soft, soft-ripened",NA,NA,NA,NA,NA,"buttery","fresh, herbal",FALSE,FALSE,NA,NA,NA,36.7014631,-118.755997,-124.482003,32.5295236,-114.1307816,42.009499
"Accasciato","https://www.cheese.com/accasciato/","buffalo, cow","Italy","Campania",NA,"semi-hard",NA,NA,"firm","natural","pale yellow","sweet","aromatic, fresh",FALSE,FALSE,NA,NA,"Casa Madaio",40.860672,14.843984,13.7623799,39.9905158,15.8064468,41.5080786
"Ackawi","https://www.cheese.com/ackawi/","cow, goat, sheep","Cyprus",NA,"Feta","soft, brined",NA,NA,"elastic, smooth, springy","natural","white","mild, milky, salty","mild, milky",FALSE,FALSE,NA,"Akkawi , Akawieh, Akawi",NA,34.9174159,32.8899027,32.0227581,34.4383706,34.3338842,35.3991245
"Ackawi","https://www.cheese.com/ackawi/","cow, goat, sheep","Egypt",NA,"Feta","soft, brined",NA,NA,"elastic, smooth, springy","natural","white","mild, milky, salty","mild, milky",FALSE,FALSE,NA,"Akkawi , Akawieh, Akawi",NA,26.2540493,29.2675469,24.6499112,21.9936736,37.1153517,31.8330854
"Ackawi","https://www.cheese.com/ackawi/","cow, goat, sheep","Israel",NA,"Feta","soft, brined",NA,NA,"elastic, smooth, springy","natural","white","mild, milky, salty","mild, milky",FALSE,FALSE,NA,"Akkawi , Akawieh, Akawi",NA,30.8124247,34.8594762,34.2674994,29.4533796,35.8950234,33.3356317
"Ackawi","https://www.cheese.com/ackawi/","cow, goat, sheep","Jordan",NA,"Feta","soft, brined",NA,NA,"elastic, smooth, springy","natural","white","mild, milky, salty","mild, milky",FALSE,FALSE,NA,"Akkawi , Akawieh, Akawi",NA,44.6663146,-93.6261918,-93.6546549,44.6449928,-93.6080818,44.6851567
"Ackawi","https://www.cheese.com/ackawi/","cow, goat, sheep","Lebanon",NA,"Feta","soft, brined",NA,NA,"elastic, smooth, springy","natural","white","mild, milky, salty","mild, milky",FALSE,FALSE,NA,"Akkawi , Akawieh, Akawi",NA,40.375713,-76.4626118,-76.6790914,40.1957824,-76.1514553,40.5551092
"Ackawi","https://www.cheese.com/ackawi/","cow, goat, sheep","Middle East",NA,"Feta","soft, brined",NA,NA,"elastic, smooth, springy","natural","white","mild, milky, salty","mild, milky",FALSE,FALSE,NA,"Akkawi , Akawieh, Akawi",NA,39.3014159,-76.5888477,-76.5945092,39.2983771,-76.5851263,39.3046478
"Ackawi","https://www.cheese.com/ackawi/","cow, goat, sheep","Syria",NA,"Feta","soft, brined",NA,NA,"elastic, smooth, springy","natural","white","mild, milky, salty","mild, milky",FALSE,FALSE,NA,"Akkawi , Akawieh, Akawi",NA,34.8147886,38.4231781,35.4714427,32.3117576,42.3745894,37.3186819
"Acorn","https://www.cheese.com/acorn/","sheep","United Kingdom","Bethania",NA,"hard, artisan","52%",NA,"crumbly, firm",NA,NA,"burnt caramel, citrusy, herbaceous","fruity",TRUE,FALSE,NA,NA,NA,52.2509586,-4.0888576,-4.1088576,52.2309586,-4.0688576,52.2709586
"Adelost","https://www.cheese.com/adelost/","cow","Sweden",NA,"Blue","semi-soft, blue-veined","50%",NA,"creamy","natural","blue","salty, sharp, tangy","strong",NA,NA,NA,NA,NA,59.6749712,14.5208584,10.5935025,55.1370957,24.1776819,69.0599735
"ADL Brick Cheese","https://www.cheese.com/adl-brick-cheese/","cow","Canada","Prince Edward Island","Cheddar","semi-soft","12%",NA,"elastic, firm, open, soft","rindless","ivory","buttery, mild, milky, subtle","buttery, sweet",NA,NA,NA,NA,"ADL - Amalgamated Dairies Limited",46.3355508,-63.1466676,-64.5519125,45.8494597,-61.3993669,47.6024791
"ADL Mild Cheddar","https://www.cheese.com/adl-mild-cheddar/","cow","Canada","Prince Edward Island","Cheddar","semi-hard","14%",NA,"firm, springy","rindless","yellow","acidic, buttery, milky, subtle",NA,NA,NA,NA,NA,"ADL - Amalgamated Dairies Limited",46.3355508,-63.1466676,-64.5519125,45.8494597,-61.3993669,47.6024791
"Affidelice au Chablis","https://www.cheese.com/affidelice-au-chablis/","cow","France","Burgundy",NA,"soft","55%","26 mg/100g","creamy, smooth","washed","orange","fruity, mild, tangy","perfumed, strong",FALSE,FALSE,NA,NA,"Fromagerie Berthaut",47.2780872,4.2224863,2.8444817,46.1560119,5.5188651,48.4000592
"Affineur Walo Rotwein Sennechäs","https://www.cheese.com/affineur-walo-rotwein-sennechas/","cow","Switzerland",NA,"Swiss Cheese","hard, artisan",NA,NA,"smooth","washed","cream","creamy, pronounced, spicy","rich, strong",FALSE,FALSE,"Affineur Walo Red Wine Farmer",NA,"Walo von Mühlenen AG",46.7985624,8.2319736,5.9559113,45.8179579,10.4922941,47.8084544
"Afuega'l Pitu","https://www.cheese.com/afuegal-pitu/","cow","Spain","Asturias",NA,"soft, artisan",NA,NA,"smooth","cloth wrapped",NA,"spicy, strong",NA,FALSE,FALSE,NA,NA,NA,43.3133868,-5.94192,-7.1831688,42.8825428,-4.5105944,43.6665324
"Aged British Cheddar","https://www.cheese.com/aged-british-cheddar/","cow","United States","NY","Cheddar","hard, artisan",NA,NA,"crumbly, crystalline, flaky","natural","pale yellow","sharp, tangy","nutty, sweet",NA,NA,NA,NA,"Muranda Cheese Company",43.1561681,-75.8449946,-79.7619758,40.476578,-71.790972,45.0158611
"Aged Cashew & Blue Green Algae Cheese","https://www.cheese.com/aged-cashew-blue-green-algae-cheese/",NA,"United States","Brooklyn NY",NA,"firm, artisan",NA,NA,"firm, spreadable",NA,"blue","creamy, mellow, oceanic, tangy","rich",TRUE,FALSE,NA,NA,"Dr. Cow Tree Nut Cheese",40.6526006,-73.9497211,-74.056688,40.550339,-73.832945,40.739434
"Aged Cashew & Brazil Nut Cheese","https://www.cheese.com/aged-cashew-brazil-nut-cheese/",NA,"United States","Brooklyn NY",NA,"firm, artisan",NA,NA,"firm, spreadable",NA,"brown","creamy, nutty, sweet","nutty, rich",TRUE,FALSE,NA,NA,"Dr. Cow Tree Nut Cheese",40.6526006,-73.9497211,-74.056688,40.550339,-73.832945,40.739434
"Aged Cashew & Dulse Cheese","https://www.cheese.com/aged-cashew-dulse-cheese/",NA,"United States","Brooklyn NY",NA,"firm, artisan",NA,NA,"firm, spreadable",NA,"brown","creamy, oceanic","rich",TRUE,FALSE,NA,NA,"Dr. Cow Tree Nut Cheese",40.6526006,-73.9497211,-74.056688,40.550339,-73.832945,40.739434
"Aged Cashew & Hemp Seed Cheese","https://www.cheese.com/aged-cashew-hemp-seed-cheese/",NA,"United States","Brooklyn NY",NA,"firm, artisan",NA,NA,"firm, spreadable",NA,"brown","creamy, mild, nutty, spicy","nutty, rich",TRUE,FALSE,NA,NA,"Dr. Cow Tree Nut Cheese",40.6526006,-73.9497211,-74.056688,40.550339,-73.832945,40.739434
"Aged Cashew Nut & Kale Cheese","https://www.cheese.com/aged-cashew-nut-kale-cheese/",NA,"United States","Brooklyn NY",NA,"firm, artisan",NA,NA,"firm, spreadable",NA,"green","creamy, oceanic, tangy","rich",TRUE,FALSE,NA,NA,"Dr. Cow Tree Nut Cheese",40.6526006,-73.9497211,-74.056688,40.550339,-73.832945,40.739434
"Aged Cashew Nut Cheese","https://www.cheese.com/aged-cashew-nut-cheese/",NA,"United States","Brooklyn NY",NA,"firm, artisan",NA,NA,"firm, spreadable",NA,"golden yellow","creamy, nutty, subtle","clean, fresh, nutty",TRUE,FALSE,"Cajun Aged Cashew Cheese, Smoked Aged Cashew Cheese, Truffle Aged Cashew Cheese, Reishi Mushroom Aged Cashew Cheese","Plain Aged Cashew Cheese","Dr. Cow Tree Nut Cheese",40.6526006,-73.9497211,-74.056688,40.550339,-73.832945,40.739434
"Aged Cheddar","https://www.cheese.com/aged-cheddar/","cow","United States",NA,NA,"hard",NA,NA,"buttery, creamy, crumbly","rindless","golden yellow","creamy, earthy, nutty","earthy, nutty",TRUE,FALSE,NA,NA,"Maple Grove Cheese, INC.",39.7837304,-100.445882,-180,-14.7608358,180,71.5889534
"Aged Chelsea","https://www.cheese.com/aged-chelsea/","goat","United States","Ann Arbor, Michigan",NA,"soft",NA,NA,"creamy, spreadable","mold ripened","ivory","acidic, buttery, sweet","goaty",FALSE,FALSE,NA,NA,"Zingermans.com LLC",42.2813722,-83.7484616,-83.799572,42.222668,-83.675807,42.3238941
"Aged Gouda","https://www.cheese.com/aged-gouda/","cow, goat, sheep","Netherlands",NA,"Gouda","hard",NA,NA,"crumbly, crystalline, dense","waxed","yellow",NA,"rich",NA,NA,"Oud Gouda",NA,NA,52.2434979,5.6343227,-68.6255319,11.825,7.2274985,53.744395
"Aggiano","https://www.cheese.com/aggiano/","cow","United States","Utah",NA,"hard, artisan",NA,NA,"creamy, dry",NA,"cream","butterscotch, tangy","fruity",TRUE,FALSE,NA,NA,"Beehive Cheese Company",39.4225192,-111.714358,-114.0528506,36.9978085,-109.0415767,42.001702
"Ailsa Craig","https://www.cheese.com/ailsa-craig/","goat","Scotland","Stewarton",NA,"semi-soft, artisan",NA,NA,"creamy, fluffy","rindless","white","creamy","goaty",TRUE,FALSE,NA,"Paddy's Milestone","Dunlop Dairy",55.680265,-4.5153023,-4.5553023,55.640265,-4.4753023,55.720265
"Ailsa Craig","https://www.cheese.com/ailsa-craig/","goat","United Kingdom","Stewarton",NA,"semi-soft, artisan",NA,NA,"creamy, fluffy","rindless","white","creamy","goaty",TRUE,FALSE,NA,"Paddy's Milestone","Dunlop Dairy",55.680265,-4.5153023,-4.5553023,55.640265,-4.4753023,55.720265
"Airedale","https://www.cheese.com/airedale/","cow","New Zealand","Airedale farming district",NA,"semi-soft, artisan",NA,NA,"smooth","waxed","pale yellow","full-flavored, milky, salty, tangy","grassy, strong",TRUE,FALSE,NA,"Aged Airedale","Whitestone Cheese",NA,NA,NA,NA,NA,NA
"Aisy Cendre","https://www.cheese.com/aisy-cendre/","cow","France","Burgundy",NA,"semi-soft, smear-ripened","50%",NA,"creamy, smooth","washed","white","full-flavored, herbaceous, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,"Cendre d'Aisy, Ashen Aisy",NA,NA,47.2780872,4.2224863,2.8444817,46.1560119,5.5188651,48.4000592
"Alex James Co. No 1 Cheddar","https://www.cheese.com/alex-james-co-no-1-cheddar/","cow","United Kingdom",NA,NA,"hard",NA,NA,"creamy, crumbly",NA,"yellow","sweet",NA,NA,NA,NA,NA,NA,54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Alex James Co. No 2 Blue Monday","https://www.cheese.com/alex-james-co-no-2-blue-monday/","cow","United Kingdom",NA,NA,"semi-soft",NA,NA,"creamy, semi firm",NA,"blue",NA,"spicy, sweet",NA,NA,NA,NA,NA,54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Alex James Co. No 3 Valley Brie","https://www.cheese.com/alex-james-co-no-3-valley-brie/","cow","United Kingdom",NA,NA,"soft, semi-soft",NA,NA,"buttery, creamy, semi firm, smooth, soft",NA,"pale white",NA,NA,NA,NA,NA,NA,NA,54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Alex James Co. No 4 Goats'","https://www.cheese.com/alex-james-co-no-4-goats/","goat","United Kingdom",NA,NA,"fresh soft",NA,NA,"smooth, springy",NA,"pale white",NA,NA,NA,NA,NA,NA,NA,54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Alex James Co. No 5 Grunge","https://www.cheese.com/alex-james-co-no-5-grunge/","cow","United Kingdom",NA,NA,"soft, semi-soft, organic",NA,NA,"creamy, soft","washed","orange",NA,NA,NA,NA,NA,NA,NA,54.7023545,-3.2765753,-14.015517,49.674,2.0919117,61.061
"Alisia-Victoria","https://www.cheese.com/alisia-victoria/","cow","Switzerland",NA,NA,"firm",NA,NA,"smooth","natural","golden yellow","buttery","nutty",NA,NA,NA,NA,"Eyeweid",46.7985624,8.2319736,5.9559113,45.8179579,10.4922941,47.8084544
"Allgauer Emmentaler","https://www.cheese.com/allgauer-emmentaler/","cow","Germany","Swabia",NA,"hard","45%",NA,"firm","natural","yellow","nutty","pungent",FALSE,FALSE,NA,NA,NA,48.1531313,10.471291,9.550566,47.2701114,11.3115715,49.0360417
"Allium Piper","https://www.cheese.com/allium-piper/","goat","Australia","South Australia",NA,"fresh soft, artisan","45%",NA,"creamy, soft",NA,"white","garlicky, spicy","fresh, garlicky, spicy",TRUE,FALSE,"Woodside Chevre - Allium Piper, Woodside Allium Piper",NA,"Woodside Cheese Wrights",-30.5343665,135.6301212,129.001395,-38.1133108,141.0027803,-25.9963915
"Alma Vorarlberger Alpkäse (3-5 months)","https://www.cheese.com/alma-vorarlberger-alpkase-3-5-months/","cow","Austria","Vorarlberg",NA,"hard, artisan","34%",NA,"firm","natural","yellow","mild, spicy","mild, spicy",FALSE,FALSE,"Vorarlberg Alpine cheese 3-5 months",NA,"Rupp AG",47.25,9.9166667,9.5307487,46.8408621,10.2371623,47.5961014
"Alma Vorarlberger Alpkäse (6-9 months)","https://www.cheese.com/alma-vorarlberger-alpkase-6-9-months/","cow","Austria","Vorarlberg",NA,"hard, artisan","34%",NA,"firm","natural","yellow","spicy, strong","spicy, strong",FALSE,FALSE,"Vorarlberg Alpine cheese 6-9 months",NA,"Rupp AG",47.25,9.9166667,9.5307487,46.8408621,10.2371623,47.5961014
"Alma Vorarlberger Bergkäse (10 months)","https://www.cheese.com/alma-vorarlberger-bergkase-10-months/","cow","Austria","Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan","34%",NA,"brittle, firm, flaky, open","natural","yellow","piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE,"Rupp Vorarlberger Bergkäse","Vorarlberger Bergkase 10 months","Rupp AG",NA,NA,NA,NA,NA,NA
"Alma Vorarlberger Bergkäse (12 months)","https://www.cheese.com/alma-vorarlberger-bergkase-12-months/","cow","Austria","Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan","34%",NA,"brittle, firm, flaky, open","natural","yellow","piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE,"Rupp Vorarlberger Bergkäse","Vorarlberger Bergkase 12 months","Rupp AG",NA,NA,NA,NA,NA,NA
"Alma Vorarlberger Bergkäse (6 months)","https://www.cheese.com/alma-vorarlberger-bergkase-6-months/","cow","Austria","Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan","34%",NA,"firm, open, supple","natural","cream","piquant, spicy, tangy","aromatic",FALSE,FALSE,"Rupp Vorarlberger Bergkäse","Vorarlberger Bergkase 6 months","Rupp AG",NA,NA,NA,NA,NA,NA
"Almnäs Tegel","https://www.cheese.com/almnas-tegel/","cow","Sweden","Västra Götaland",NA,"hard, smear-ripened",NA,NA,"open, smooth","washed","straw","caramel, fruity, nutty","fruity, sweet",FALSE,FALSE,NA,"Almnas Tegel","Almnäs Bruk",NA,NA,NA,NA,NA,NA
"Alpe di Frabosa","https://www.cheese.com/alpe-di-frabosa/","cow","Italy",NA,NA,"semi-soft",NA,NA,NA,NA,NA,"bitter","milky, mushroom",FALSE,FALSE,NA,NA,NA,42.6384261,12.674297,6.6272658,35.2889616,18.7844746,47.0921485
"Alpha Tolman","https://www.cheese.com/alpha-tolman/","cow","United States","Greensboro, VT","Swiss Cheese","semi-hard, artisan",NA,NA,"dense, elastic, smooth","washed","yellow","buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",NA,NA,NA,NA,"Jasper Hill Farm",44.5760038,-72.2956806,-72.3738604,44.5424944,-72.2024881,44.6649009
"Alpicrème","https://www.cheese.com/alpicreme/","goat","France",NA,NA,"soft",NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,46.603354,1.8883335,-178.3873749,-50.2187169,172.3057152,51.3055721
"Alpine Gold","https://www.cheese.com/alpine-gold/","cow","Canada","British Columbia",NA,"semi-soft, brined",NA,NA,"supple","washed","cream","floral, grassy, savory","earthy, floral, rich",FALSE,FALSE,NA,NA,"The Farm House Natural Cheeses",55.001251,-125.002441,-139.0613278,48.2245556,-114.0541379,60.0020692
"Alpkäse","https://www.cheese.com/alpkase/","cow","Switzerland",NA,NA,"hard",NA,NA,"dense","natural","golden yellow","herbaceous","rich",FALSE,FALSE,"Alpkase",NA,"Jumi",46.7985624,8.2319736,5.9559113,45.8179579,10.4922941,47.8084544
"Alps Rebel","https://www.cheese.com/alps-rebel/","cow","Austria","Sulzberg",NA,"semi-hard, artisan","48%",NA,"creamy, open","natural","yellow","buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",NA,NA,"Alpenrebell",NA,"Sulzberger Käserebellen Sennerei GmbH",47.5252197,9.9201049,9.8624882,47.5024171,9.9712923,47.5481489
"Alta Badia","https://www.cheese.com/alta-badia/","cow","Italy",NA,NA,"semi-soft","33.5 g/100g",NA,"firm",NA,NA,"milky, sharp, tangy",NA,FALSE,FALSE,NA,NA,"Mila LATTE MONTAGNA ALTO ADIGE",42.6384261,12.674297,6.6272658,35.2889616,18.7844746,47.0921485
"Alverca","https://www.cheese.com/alverca/","goat, sheep","Portugal",NA,NA,"semi-hard","40-50%",NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,39.6621648,-8.1353519,-31.5575303,29.828247,-6.1891593,42.1543112
"Amablu Blue cheese","https://www.cheese.com/amablu-blue-cheese/","cow","United States",NA,"Blue","semi-soft, artisan, blue-veined",NA,NA,"crumbly",NA,NA,"tangy",NA,FALSE,FALSE,NA,NA,"Caves of Faribault",39.7837304,-100.445882,-180,-14.7608358,180,71.5889534
"Amalthée","https://www.cheese.com/amalthee/","goat","France","Charentes-Poitou",NA,"soft, soft-ripened",NA,NA,NA,"bloomy",NA,"grassy, mild, sweet","goaty, grassy, mild, sweet",FALSE,FALSE,NA,NA,NA,45.4039367,0.3756199,-1.7910227,42.7775376,2.6114965,47.1759223
"Amarelo de Beira Baixa","https://www.cheese.com/amarelo-de-beira-baixa/","goat, sheep","Portugal","Beira Baixa Province",NA,"semi-firm, artisan","45-60%",NA,NA,NA,"yellow","acidic",NA,FALSE,FALSE,"Amarelo da Beira Baixa Cheese (DOP), Queijo amarelo da Beira Baixa",NA,NA,NA,NA,NA,NA,NA,NA
"Ameribella","https://www.cheese.com/ameribella/","cow","United States","Indiana",NA,"semi-soft, artisan",NA,NA,"creamy, runny, smooth, spreadable","washed","straw","mushroomy, salty, savory, sweet","earthy, grassy, lactic",NA,NA,"Arabella",NA,"Jacobs & Brichford Farmstead Cheese",40.3270127,-86.1746933,-88.0972043,37.7716793,-84.784609,41.761368
"American Cheese","https://www.cheese.com/american-cheese/","cow","United States",NA,NA,"semi-soft, processed",NA,NA,"smooth","rindless","yellow",NA,"mild",FALSE,FALSE,NA,NA,NA,39.7837304,-100.445882,-180,-14.7608358,180,71.5889534
"Ami du Chambertin","https://www.cheese.com/ami-du-chambertin/","cow","France","Gevrey-Chambertin, Burgundy",NA,"semi-soft, artisan, brined","45%",NA,"smooth","washed","white","buttery, sharp",NA,FALSE,FALSE,"L'Ami du Chambertin",NA,NA,NA,NA,NA,NA,NA,NA
"Amish Frolic","https://www.cheese.com/amish-frolic/","cow","United States","Milford, NJ",NA,"hard, artisan",NA,NA,"flaky, open","natural","pale yellow","grassy, nutty, sweet","grassy",FALSE,FALSE,NA,NA,"Bobolink Dairy",40.5687128,-75.0946169,-75.103003,40.5563309,-75.078757,40.578277
"Amou","https://www.cheese.com/amou/","sheep","France","Amou, Gascony",NA,"firm","45%",NA,NA,NA,"golden yellow",NA,NA,FALSE,FALSE,"l'Amou, Amu",NA,NA,NA,NA,NA,NA,NA,NA
"Amsterdammer (British Columbia)","https://www.cheese.com/amsterdammer-british-columbia/",NA,"Canada","Comox Valley, Vancouver Island",NA,"semi-soft, firm","30%",NA,"buttery, creamy","natural","pale yellow","buttery, creamy","aromatic, buttery",FALSE,FALSE,NA,NA,"Natural Pastures Cheese Company",NA,NA,NA,NA,NA,NA
"Amul Cheese Spread","https://www.cheese.com/amul-cheese-spread/","cow","India","Gujarat",NA,"soft, processed",NA,NA,"creamy, spreadable",NA,NA,"creamy, salty, savory, spicy",NA,TRUE,FALSE,NA,NA,"Gujarat Cooperative Milk Marketing Federation (Amul)",22.3850051,71.745261,68.1756585,20.1195321,74.4764325,24.7118932
"Amul Emmental","https://www.cheese.com/amul-emmental/","cow","India","Gujarat","Swiss Cheese","semi-hard","46%","488 mg/100g","firm, open","artificial","yellow","sweet","nutty",TRUE,FALSE,NA,NA,"Gujarat Cooperative Milk Marketing Federation (Amul)",22.3850051,71.745261,68.1756585,20.1195321,74.4764325,24.7118932
"Amul Gouda","https://www.cheese.com/amul-gouda/","cow","India","Gujarat","Gouda","semi-hard","46%","492 mg/100g","compact, dense, firm, springy","plastic","yellow","fruity, sweet","mild",TRUE,FALSE,NA,NA,"Gujarat Cooperative Milk Marketing Federation (Amul)",22.3850051,71.745261,68.1756585,20.1195321,74.4764325,24.7118932
"Amul Pizza Mozzarella Cheese","https://www.cheese.com/amul-pizza-mozzarella-cheese/","cow","India","Gujarat","Mozzarella","semi-soft, processed","30-40%","492 mg/100g","elastic, stringy","artificial","yellow","salty","pleasant",TRUE,FALSE,NA,NA,"Gujarat Cooperative Milk Marketing Federation (Amul)",22.3850051,71.745261,68.1756585,20.1195321,74.4764325,24.7118932
"Amul Processed Cheese","https://www.cheese.com/amul-processed-cheese/","cow, water buffalo","India","Gujarat","Cheddar","hard, processed","26%","343 mg/100g","crumbly, dense","artificial","yellow","buttery, creamy, salty",NA,TRUE,FALSE,NA,NA,"Gujarat Cooperative Milk Marketing Federation (Amul)",22.3850051,71.745261,68.1756585,20.1195321,74.4764325,24.7118932
"Anari","https://www.cheese.com/anari/","goat, sheep","Cyprus","island wide","Cottage","fresh soft, hard, artisan","8%",NA,"brittle, creamy, flaky","natural","white","creamy, mild, salty",NA,NA,NA,"Dry Anari, Fresh Anari",NA,NA,NA,NA,NA,NA,NA,NA
"Anejo Enchilado","https://www.cheese.com/anejo-enchilado/","cow, goat","Mexico",NA,NA,"semi-hard",NA,NA,"crumbly, firm",NA,"white","salty, sharp, spicy, strong","strong",FALSE,FALSE,"Queso Añejo, Añejo",NA,NA,19.4326296,-99.1331785,-99.304945,19.2419543,-98.9750504,19.5796926
"Anneau du Vic-Bilh","https://www.cheese.com/anneau-du-vic-bilh/","goat","France","Pyrenees-Atlantiques","Cottage","soft, artisan","45%",NA,"creamy, smooth",NA,"white","acidic, nutty, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,NA,NA,NA,43.1871865,-0.7282474,-1.7910227,42.7775376,0.0302752,43.5967976
"Anniversary Ale Cheddar","https://www.cheese.com/anniversary-ale-cheddar/","cow","United States","Northwest","Cheddar","semi-hard, artisan",NA,NA,"dense, firm",NA,NA,"creamy, mild, sweet","floral, fruity",TRUE,FALSE,NA,NA,"Rogue Creamery",34.3129464,-78.1611077,-78.185646,34.283801,-78.122512,34.343451
"Anster","https://www.cheese.com/anster/","cow","Scotland","Fife",NA,"semi-hard, artisan",NA,NA,"crumbly, dry",NA,"ivory","milky","milky, rich",NA,NA,NA,NA,"St Andrews Farmhouse Cheese Company",56.3333331,-3.0000001,-3.7399184,56.0058294,-2.544237,56.4534987
"Anthotyro","https://www.cheese.com/anthotyro/","goat, sheep","Greece","Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",NA,"hard, whey","30%","318 mg/100g","crumbly","natural","white","salty, tangy","strong",NA,NA,"Anthotyro Fresco, Anthotyro","Anthotiro, Antotiro",NA,NA,NA,NA,NA,NA,NA
"Anthotyro Fresco","https://www.cheese.com/anthotyro-fresco/","goat, sheep","Greece","Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",NA,"semi-soft, whey","20%",NA,"creamy, smooth","rindless","white","sweet",NA,NA,NA,"Fresh Anthotyro, Anthotiro",NA,NA,NA,NA,NA,NA,NA,NA
